Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C17, C2, C3, C4, C8",0603,12,100n,C14663
C10,0603,1,22u,C59461
C5,0603,1,10n,C57112
"C6, C7",0603,2,10p,C1634
C9,0603,1,10u,C19702
D1,0603,1,LED,C72043
"H1, H2, H3, H39, H4, H40, H5, H6",MountingHole_2.2mm_M2,8,MountingHole,
"H10, H11, H12, H13, H14, H15, H16, H17, H18, H19, H20, H21, H22, H23, H24, H25, H26, H7, H8, H9",MX-1U-NoPins,20,KeySwitch,
IC1,SOIC127P600X175-8N,1,M24C64-RMN6TP,C79988
"IC2, IC3, IC4",SOP65P640X120-16N,3,ADG708BRUZ-REEL7,C35325
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C319148
J2,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
MCU1,LQFP-48_7x7mm_P0.5mm,1,STM32F303CBTx,C108516
"R1, R2",0603,2,5.1k,C23186
R3,0603,1,1.5k,C22843
"R4, R8",0603,2,1k,C21190
"R5, R6",0603,2,10k,C25804
R7,0603,1,470,C23179
SW1,SW_Push_1P1T_XKB_TS-1187A,1,BOOT,C318884
SW2,SW_Push_1P1T_XKB_TS-1187A,1,RESET,C318884
U1,SOT-23-6,1,SRV05-4,C85364
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U3, U4, U5, U6, U7, U8, U9",SOT-23,20,Hall_Sensor,C266230
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
